date,sender,message,label
2026-06-10,+919842559072,  Bitcoin doubling in 7 days GUARANTEED. Join http://tinyurl.com/ktagu  ,spam 
2026-06-12,TM-OTPMSG,   ,ham
2026-06-14,TX-PRIZE9,"WINNER! Rs 500,000 lucky draw prize. Call 9352114611 today",spam 
2026-06-07,+919837776759,Your ticket PNR 792687 is confirmed. Coach S4 let me know,HAM
2026-06-09,AD-SBIINB,Stock tips with 100% accuracy. Free trial. Join http://rb.gy/bcbks,spam 
2026-06-25,+919895110541,  Mobile recharge of Rs 2000 successful. Validity 28 days ok da  ,ham 
2026-06-06,JD-SWIGGY,   ,Spam
2026-06-19,VM-AMAZON,Rs 2500 cashback pending in your wallet. Claim at http://tinyurl.com/gsmdx,spam
2026-06-09,+919838720823,Your parcel is on hold. Pay Rs 2000 customs at http://bit.ly/jjymq, spam
2026-06-08,+919847338124,machan call me when you are free ok da,HAM
2026-06-28,VM-AMAZON,"Part time job for students, no investment. Contact 9757830420",spam
2026-06-03,TX-PRIZE9,"You are selected for Rs 50,000 cash prize. Send bank details to claim",spam 
2026-06-18,+919891549765,"  hey i am at the bus stop, come fast ok?  ",Ham
2026-06-09,AD-SBIINB,Stock tips with 100% accuracy. Free trial. Join http://rb.gy/bcbks,spam 
2026-06-06,BP-ALERTS,"Part time job for students, no investment. Contact 9982277976",spam 
2026-06-03,AD-SBIINB,   ,Ham
2026-06-26,TM-OTPMSG,Your electricity will be disconnected tonight. Call 9209415691 now,SPAM
2026-06-22,TX-PRIZE9,Your electricity will be disconnected tonight. Call 9345343109 now,Spam
2026-06-21,TX-PRIZE9,Your parcel is on hold. Pay Rs 249 customs at http://tinyurl.com/4f2qy,Spam
2026-06-14,TM-OTPMSG,"Flat 90% OFF, sale ends in 2 hours. Hurry http://bit.ly/22jdr",SPAM
2026-06-26,AD-SBIINB,Your electricity will be disconnected tonight. Call 9146914391 now,spam
2026-06-19,+919886166246,Rs 249 credited to your account XX6846,Ham
2026-06-10,+919825659979,ok the canteen has a new offer on lunch combos,HAM
2026-06-11,AD-SBIINB,"You are selected for Rs 2,500,000 cash prize. Send bank details to claim",SPAM
2026-06-19,+919874251933,ok wish you all the best for the interview,HAM
2026-06-09,AD-SBIINB,URGENT: Your account will be blocked today. Verify at http://rb.gy/spzky,SPAM
2026-06-06,TM-OTPMSG,"You are selected for Rs 500,000 cash prize. Send bank details to claim",spam 
2026-06-09,TX-PRIZE9,there is a cash prize of Rs 2000 for the winning team ok?,HAM
2026-06-04,+919856095437,"You are selected for Rs 2,500,000 cash prize. Send bank details to claim",SPAM
2026-06-10,AD-OFFERS,prize distribution is at 4pm in the auditorium,ham 
2026-06-23,+919837449289,"the internal marks are out, check the portal ok?", ham
2026-06-23,+919865682626,hi the canteen has a new offer on lunch combos, ham
2026-06-29,+919860829941,lets meet at the library at 4,ham
2026-06-26,AD-SBIINB,"WINNER! Rs 500,000 lucky draw prize. Call 9342925794 today",spam 
2026-06-05,TM-OTPMSG,"  reached home safely, dont worry thanks  ", ham
2026-06-23,AD-SBIINB,Your SIM will be deactivated tonight. Call 9675944565 immediately,Spam
2026-06-03,TM-OTPMSG,"Dear customer, your KYC is pending. Update now at http://tinyurl.com/tm3tv",Spam
2026-06-19,AD-SBIINB,da our team won first prize in the symposium!,ham 
2026-06-02,JD-SWIGGY,Stock tips with 100% accuracy. Free trial. Join http://bit.ly/9d42j,spam
2026-06-17,TM-OTPMSG,Your electricity will be disconnected tonight. Call 9790945624 now, spam
2026-06-02,+919839835008,"Your loan of Rs 50,000 is APPROVED. Verify here http://rb.gy/tdd3d", spam
2026-06-19,TM-OTPMSG,send me your notes for unit 2 please,ham 
2026-06-23,BP-ALERTS,"hi sorry yaar running late, 10 mins",Ham
2026-06-24,JD-SWIGGY,"ok i need Rs 199 urgently, will return by month end",Ham
2026-06-17,+919859995026,"i need Rs 199 urgently, will return by month end",ham 
2026-06-12,+919837868462,Your debit card is suspended. Re-activate here http://rb.gy/ddqkd, spam
2026-06-17,+919896347724,Your Swiggy order is out for delivery,Ham
2026-06-30,VM-AMAZON,"hey i need Rs 249 urgently, will return by month end",ham
2026-06-29,+919848250360,da how was the viva today,Ham
2026-06-21,TM-OTPMSG,Recharge Rs 249 and get 100% cashback! Click http://bit.ly/tkpq3, spam
2026-06-13,+919847342819,ok what time is tomorrow's lab,Ham
2026-06-10,VM-AMAZON,lets meet at the library at 4,Ham
2026-06-07,JD-SWIGGY,da are you free tomorrow evening?,ham 
2026-06-22,JD-SWIGGY,  hi OTP 977330 for your login. Never share this code  ,ham
2026-06-02,JD-SWIGGY,Stock tips with 100% accuracy. Free trial. Join http://rb.gy/uhxsw,Spam
2026-06-13,JD-SWIGGY,da prize distribution is at 4pm in the auditorium,ham
2026-06-08,+919894323222,  Bitcoin doubling in 7 days GUARANTEED. Join http://rb.gy/nmzmc  ,SPAM
2026-06-18,+919820099059,ok send me your notes for unit 2 please ok da,ham 
2026-06-09,TX-PRIZE9,there is a cash prize of Rs 2000 for the winning team ok?,HAM
2026-06-10,TM-OTPMSG,,HAM
2026-06-07,VM-LOANXX,"  Your loan of Rs 1,000,000 is APPROVED. Verify here http://tinyurl.com/ygvy9  ",Spam
2026-06-22,+919815307982,Your ticket PNR 507286 is confirmed. Coach S4 ok da,ham
2026-06-23,+919873584863,"i am not well today, going home early",ham
2026-06-08,+919823542127,bro how was the viva today,HAM
2026-06-18,+919860806024,da where are you? class started already,ham
2026-06-18,AD-OFFERS,Rs 1500 credited to your account XX9005,HAM
2026-06-13,AD-OFFERS,Bitcoin doubling in 7 days GUARANTEED. Join http://tinyurl.com/qbq3z,Spam
2026-06-20,VM-AMAZON,"URGENT HIRING! Data entry job, weekly payment. Register http://tinyurl.com/2spfg",spam 
2026-06-01,TM-OTPMSG,Your electricity will be disconnected tonight. Call 9338836384 now,SPAM
2026-06-01,+919865208920,ok did you finish the assignment? send me the pdf,ham
2026-06-02,+919854492381,bro happy birthday da!! have a great year ok da,Ham
2026-06-10,+919842559072,Bitcoin doubling in 7 days GUARANTEED. Join http://tinyurl.com/ktagu,spam 
2026-06-16,VM-AMAZON,  URGENT: Your account will be blocked today. Verify at http://tinyurl.com/uxkrk  , spam
2026-06-02,+919824749927,"bro congrats da, you won the match!! party podu ok?", ham
2026-06-11,TM-OTPMSG,Bitcoin doubling in 7 days GUARANTEED. Join http://rb.gy/ux5qr,spam 
2026-06-27,+919846042404,Please share the report before EOD today ok da, ham
2026-06-05,+919889212676,"reached home safely, dont worry", ham
2026-06-03,VM-LOANXX,Double your money in 30 days. Guaranteed returns. Call 9588909690,Spam
2026-06-04,VM-LOANXX,  Bitcoin doubling in 7 days GUARANTEED. Join http://tinyurl.com/2usma  ,spam 
2026-06-10,TM-OTPMSG,"  no problem, take your time let me know  ",Ham
2026-06-07,+919893568503,Your ticket PNR 192337 is confirmed. Coach S4,HAM
2026-06-13,JD-SWIGGY,hi are you coming to canteen or not,HAM
2026-06-07,VM-LOANXX,claim your certificate from the department office, ham
2026-06-16,VM-AMAZON,"WINNER! Rs 500,000 lucky draw prize. Call 9569172971 today",Spam
2026-06-14,+919823234748,da Mobile recharge of Rs 199 successful. Validity 28 days, ham
2026-06-03,AD-SBIINB,  bro there is a cash prize of Rs 99 for the winning team  ,ham
2026-06-04,BP-ALERTS,Your SIM will be deactivated tonight. Call 9856528252 immediately,spam 
2026-06-19,+919867594492,"i need Rs 999 urgently, will return by month end pls",Ham
2026-06-27,JD-SWIGGY,"Part time job for students, no investment. Contact 9235491190",spam 
2026-06-17,TM-OTPMSG,"bro no problem, take your time",HAM
2026-06-01,TX-PRIZE9,  bro i will call you after dinner ok da  , ham
2026-06-14,AD-SBIINB,Delivery failed. Reschedule by paying Rs 1500 at http://rb.gy/9d6gb,SPAM
2026-06-29,+919860829941,  lets meet at the library at 4  ,ham
2026-06-02,+919848530827,hey are you free tomorrow evening?,HAM
2026-06-20,+919862884503,  prize distribution is at 4pm in the auditorium  ,ham
2026-06-25,+919810076758,"  Congratulations! You have won Rs 500,000. Call 9771410971 to claim now  ",Spam
2026-06-03,+919870445541,hi our team won first prize in the symposium! pls, ham
2026-06-16,+919836246038,hi amma is asking when you are coming home, ham
2026-06-08,JD-SWIGGY,  Delivery failed. Reschedule by paying Rs 499 at http://tinyurl.com/nxm6q  ,Spam
2026-06-26,AD-SBIINB,Stock tips with 100% accuracy. Free trial. Join http://bit.ly/6azk7,spam
2026-06-05,+919873411827,"Meeting moved to 3pm, link is in the invite",HAM
2026-06-18,+919820099059,ok send me your notes for unit 2 please ok da,ham 
2026-06-01,+919857201978,Stock tips with 100% accuracy. Free trial. Join http://bit.ly/fu3y7,spam
2026-06-01,TX-PRIZE9,Your SIM will be deactivated tonight. Call 9946434607 immediately,SPAM
2026-06-21,+919896605343,"bro urgent, can you send me the notes for unit 3 let me know", ham
2026-06-30,TM-OTPMSG,"  Get instant loan up to Rs 2,500,000, 0% interest. Apply now http://rb.gy/8vecx  ",spam 
2026-06-28,TX-PRIZE9,Stock tips with 100% accuracy. Free trial. Join http://tinyurl.com/m9er2,spam
2026-06-02,+919895758649,hey what time is tomorrow's lab, ham
2026-06-06,TM-OTPMSG,Your SIM will be deactivated tonight. Call 9415001254 immediately,spam
2026-06-22,+919880392240,da Your Swiggy order is out for delivery, ham
2026-06-16,AD-SBIINB,"Part time job for students, no investment. Contact 9949447049", spam
2026-06-09,BP-ALERTS,"i need Rs 199 urgently, will return by month end", ham
2026-06-05,+919888205594,bro did you finish the assignment? send me the pdf,HAM
2026-06-02,+919876423575,"hi i need Rs 499 urgently, will return by month end thanks",ham 
2026-06-04,AD-OFFERS,"Pre-approved loan of Rs 100,000 for you. Money in 10 minutes http://tinyurl.com/h7k4u",Spam
2026-06-02,+919876423575,"hi i need Rs 499 urgently, will return by month end thanks",ham 
2026-06-15,+919845186708,  bro wish you all the best for the interview  ,ham 
2026-06-01,+919873319171,Please share the report before EOD today, ham
2026-06-08,+919847338124,machan call me when you are free ok da,HAM
2026-06-30,BP-ALERTS,ok Standup is cancelled today ok?,Ham
2026-06-11,JD-SWIGGY,da how was the viva today, ham
2026-06-06,VM-AMAZON,"You are selected for Rs 500,000 cash prize. Send bank details to claim",spam 
2026-06-06,AD-SBIINB,"the workshop is free for our college students, register in the portal",ham 
2026-06-01,TM-OTPMSG,"  congrats da, you won the match!! party podu  ",ham
2026-06-19,AD-OFFERS,OTP 503380 for your login. Never share this code,Ham
2026-06-23,BP-ALERTS,  Recharge Rs 2000 and get 100% cashback! Click http://rb.gy/km2zw  , spam
2026-06-12,BP-ALERTS,  Recharge Rs 2500 and get 100% cashback! Click http://tinyurl.com/swvvu  ,SPAM
2026-06-20,AD-SBIINB,what time is tomorrow's lab thanks,HAM
2026-06-23,BP-ALERTS,lets meet at the library at 4,ham
2026-06-22,+919880392240,da Your Swiggy order is out for delivery, ham
2026-06-02,+919835475673,our team won first prize in the symposium! thanks, ham
2026-06-25,+919896688655,"congrats da, you won the match!! party podu",Ham
2026-06-21,BP-ALERTS,You have won an iPhone! Answer 3 questions at http://bit.ly/fe2c8,SPAM
2026-06-10,+919884121929,hi the canteen has a new offer on lunch combos,Ham
2026-06-03,+919860622842,"i am not well today, going home early",Ham
2026-06-02,+919855540424,"i need Rs 2500 urgently, will return by month end",ham
2026-06-04,+919865857931,"hey no problem, take your time ok?",ham
2026-06-12,+919824710878,"hey i am at the bus stop, come fast",ham
2026-06-11,+919868353204,hey Your leave request has been approved,Ham
2026-06-24,+919838138531,"no problem, take your time",Ham
2026-06-15,+919838595818,happy birthday da!! have a great year,HAM
2026-06-03,+919839801436,"URGENT HIRING! Data entry job, weekly payment. Register http://tinyurl.com/cfqs4",SPAM
2026-06-20,+919862884503,prize distribution is at 4pm in the auditorium,ham
2026-06-15,+919889520597,hey did you finish the assignment? send me the pdf let me know, ham
2026-06-22,TM-OTPMSG,"congrats da, you won the match!! party podu",Ham
2026-06-19,+919866949781,  thanks a lot for the help yesterday thanks  ,HAM
2026-06-02,+919879616482,"Part time job for students, no investment. Contact 9841419015",Spam
2026-06-08,+919829228089,da Your OTP is 356622. Do not share with anyone thanks,HAM
2026-06-02,+919879616482,"Part time job for students, no investment. Contact 9841419015",Spam
2026-06-09,AD-SBIINB,Stock tips with 100% accuracy. Free trial. Join http://bit.ly/8eddt,Spam
2026-06-21,AD-OFFERS,happy birthday da!! have a great year,HAM
2026-06-07,TM-OTPMSG,"  You are selected for Rs 500,000 cash prize. Send bank details to claim  ",spam 
2026-06-04,BP-ALERTS,Your SIM will be deactivated tonight. Call 9856528252 immediately,spam 
2026-06-24,AD-SBIINB,da where are you? class started already pls,Ham
2026-06-23,VM-AMAZON,"Part time job for students, no investment. Contact 9563693201",spam 
2026-06-29,+919854499873,"Flat 90% OFF, sale ends in 2 hours. Hurry http://bit.ly/ac6qe",spam
2026-06-05,TX-PRIZE9,Rs 199 credited to your account XX6038,Ham
2026-06-22,AD-OFFERS,  Your Amazon order has been delivered. Rate it at http://bit.ly/6zvah  ,ham
2026-06-10,AD-OFFERS,  prize distribution is at 4pm in the auditorium  ,ham 
2026-06-09,BP-ALERTS,You have won an iPhone! Answer 3 questions at http://tinyurl.com/xfekh,spam
2026-06-19,AD-OFFERS,OTP 503380 for your login. Never share this code,Ham
2026-06-09,TM-OTPMSG,"  Get instant loan up to Rs 1,000,000, 0% interest. Apply now http://rb.gy/e59c3  ",spam 
2026-06-08,TX-PRIZE9,"You are selected for Rs 500,000 cash prize. Send bank details to claim", spam
2026-06-06,+919827013243,sir is giving free access to the lab till friday,Ham
2026-06-08,TX-PRIZE9,,spam 
2026-06-26,AD-SBIINB,URGENT: Your account will be blocked today. Verify at http://rb.gy/9my72,Spam
2026-06-04,BP-ALERTS,"urgent, can you send me the notes for unit 3 let me know",Ham
2026-06-22,TX-PRIZE9,Your electricity will be disconnected tonight. Call 9345343109 now,Spam
2026-06-03,+919821989814,"bro bro that movie was awesome, we should go again let me know",ham
2026-06-10,VM-AMAZON,lets meet at the library at 4,Ham
2026-06-03,+919899929175,Delivery failed. Reschedule by paying Rs 499 at http://bit.ly/kcmkw,spam 
2026-06-08,JD-SWIGGY,,ham 
2026-06-09,BP-ALERTS,free bus is arranged for the industrial visit ok da,Ham
2026-06-24,AD-OFFERS,Please share the report before EOD today,Ham
2026-06-04,+919873013937,URGENT: Your account will be blocked today. Verify at http://tinyurl.com/tmisr,spam 
2026-06-30,+919847221734,,HAM
2026-06-15,+919867740376,"da sorry yaar running late, 10 mins pls",HAM
